Date,Open,High,Low,Close,Tick,Volume
2020.01.02 09:00,118940,119042,118889,119016,12658,61538
2020.01.02 09:05,119011,119113,118915,119098,16174,72643
2020.01.02 09:10,119098,119123,119016,119021,12359,49335
2020.01.02 09:15,119021,119042,118981,118996,9840,39651
2020.01.02 09:20,119001,119016,118965,119001,7253,32205
2020.01.02 09:25,119001,119072,118986,119057,8396,33175
2020.01.02 09:30,119057,119062,118991,119006,7219,30835
2020.01.02 09:35,119006,119006,118803,118854,27554,109252
2020.01.02 09:40,118854,118884,118772,118803,11038,40942
2020.01.02 09:45,118803,118864,118778,118803,8574,31158
2020.01.02 09:50,118803,118844,118742,118762,7388,27588
2020.01.02 09:55,118767,118945,118732,118925,21541,80176
2020.01.02 10:00,118925,119158,118894,119042,33595,127454
2020.01.02 10:05,119047,119113,118818,118864,27566,107785
2020.01.02 10:10,118864,118981,118767,118930,26766,105720
2020.01.02 10:15,118935,118945,118803,118879,16404,65446
2020.01.02 10:20,118879,118996,118742,118971,26032,107452
2020.01.02 10:25,118965,119042,118864,118915,19291,75899
2020.01.02 10:30,118915,119230,118915,119199,33585,134656
2020.01.02 10:35,119199,119301,119133,119275,21746,87105
2020.01.02 10:40,119275,119316,119240,119291,14526,59672
2020.01.02 10:45,119296,119341,119240,119275,13565,56267
2020.01.02 10:50,119280,119397,119275,119387,17444,72601
2020.01.02 10:55,119392,119453,119346,119448,17209,72648
2020.01.02 11:00,119448,119504,119407,119473,16349,74275
2020.01.02 11:05,119473,119514,119433,119448,14024,64280
2020.01.02 11:10,119448,119545,119407,119453,21038,87807
2020.01.02 11:15,119458,119514,119443,119448,9448,40846
2020.01.02 11:20,119448,119539,119428,119479,12516,54979
2020.01.02 11:25,119479,119565,119428,119529,17270,78746
2020.01.02 11:30,119529,119799,119514,119768,45265,213181
2020.01.02 11:35,119768,120078,119768,120047,41798,201435
2020.01.02 11:40,120047,120190,120012,120042,30653,160147
2020.01.02 11:45,120042,120154,119915,120098,29880,137811
2020.01.02 11:50,120103,120230,120073,120205,22162,116577
2020.01.02 11:55,120205,120296,120159,120281,23311,103145
2020.01.02 12:00,120281,120322,120134,120190,22387,98089
2020.01.02 12:05,120195,120256,120159,120246,10833,48560
2020.01.02 12:10,120246,120266,120068,120124,17516,76939
2020.01.02 12:15,120119,120124,119987,120042,22366,101665
2020.01.02 12:20,120047,120058,119900,119992,18390,79593
2020.01.02 12:25,119992,120053,119966,120037,11564,61613
2020.01.02 12:30,120032,120078,119946,120053,16236,74419
2020.01.02 12:35,120047,120088,119966,120007,12158,56734
2020.01.02 12:40,120002,120063,119992,120053,7073,33320
2020.01.02 12:45,120053,120129,120022,120129,13347,59259
2020.01.02 12:50,120129,120169,120093,120114,13996,64510
2020.01.02 12:55,120114,120210,120108,120180,11398,50280
2020.01.02 13:00,120185,120266,120174,120256,11699,55177
2020.01.02 13:05,120261,120296,120154,120195,17770,77841
2020.01.02 13:10,120195,120317,120185,120281,13652,60738
2020.01.02 13:15,120281,120291,120159,120190,13538,60993
2020.01.02 13:20,120190,120261,120169,120251,9474,42194
2020.01.02 13:25,120256,120271,120108,120139,14699,64879
2020.01.02 13:30,120149,120149,120012,120042,17626,77868
2020.01.02 13:35,120053,120088,119971,120068,17280,78302
2020.01.02 13:40,120063,120119,120022,120088,10185,45471
